Apex	Apex (Hsieh Chia-Wei)	Apex (Francesco Massara)	Apex Gaming	ApeX R Gaming
Archer	Archer (Lee Keun-hee)	Archer (Andrés Duran)	Archer (Danh Thanh Huy)
Aria	Aria (Lee Ga-eul)	Aria (An Yu-Run)
Jay (Taiwanese player)	Jay (Li Chieh)	Jay (Park Jin-cheol)	Jay (Chen Bo)	Jay (Jasmin Ajanovic)	Jay (Luo Zi-Jie)	Jay (Lee Jang-hee)
Jelly	Jelly (Son Ho-gyeong)	Jelly (Gwak Seok-ho)	Jelly (Sebastian Vican)
Lonely	Lonely (Liu Shi-Yu)	Lonely (Han Gyu-joon)
Lucky	Lucky (Liu Jun-Jie)	Lucky (Luca Santos)	Lucky (Jørgen Julius Sjursen Ystebø)	Lucky (Alejandro Ko)	Lucky (Tong-He Zhang)	Lucky (Wang Yu-Fan)
Mimic	Mimic (Min Ju-seong)	Mimic (Nawaf Al-Salem)
Mountain	Mountain (Xue Zhao-Hong)	MounTain (Patrick Dasberg)
Naru	Naru (Koray Bıçak)	Naru (Agustín Sebben)
Noway	Noway (Nguyễn Vũ Long)	NoWay (Frederik Hinteregger)	Noway (Andrey Moiseenko)	Noway (Zhao Jie-Jie)
Steal	Steal (Mun Geon-yeong)	Steal (Victor Ruiz)
Style	Style (Ignacio Pezoa)	style (Fabio Amazonas)	Style (Mai Hoàng Sơn)
